country,club,player,playerShort,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,pos_cat
England,Southampton FC,Adam Lallana,adam-lallana,10.05.1988,173,73,missing,258,115,64,79,55,16,0,0,Missing
England,Reading FC,Adam Le Fondre,adam-le-fondre,02.12.1986,180,73,missing,221,83,57,81,95,18,0,0,Missing
England,Liverpool FC,Adam Morgan,adam-morgan,21.04.1994,179,NA,missing,23,8,7,8,1,0,0,0,Missing
Spain,Real Zaragoza,Ádám Pintér,adam-pinter,12.06.1988,190,76,Center Back,82,28,18,36,1,14,1,1,Defender
England,Millwall FC,Adam Smith,adam-smith_3,29.04.1991,173,73,Right Fullback,131,55,31,45,4,29,2,1,Defender
Germany,1. FSV Mainz 05,Ádám Szalai,adam-szalai,09.12.1987,193,87,Center Forward,182,83,40,59,51,18,1,0,Forward
France,Stade Brest,Adama Ba,adama-ba,27.08.1993,179,68,Attacking Midfielder,27,9,5,13,3,2,0,0,Midfielder
Spain,Real Madrid,Adán,adan,13.05.1987,190,88,Goalkeeper,44,22,6,16,0,1,0,1,Defender
England,Queens Park Rangers,Adel Taarabt,adel-taarabt,24.05.1989,180,78,Left Midfielder,209,67,56,86,41,23,1,0,Midfielder
Spain,Valencia CF,Adil Rami,adil-rami,27.12.1985,190,88,Center Back,286,144,71,71,20,59,2,3,Defender
Spain,Getafe CF,Adrián Colunga,adrian-colunga,17.11.1984,171,69,Center Forward,178,53,43,82,39,22,1,0,Forward
England,Reading FC,Adrian Mariappa,adrian-mariappa,03.10.1986,180,77,Center Back,317,109,77,131,6,32,3,0,Defender
France,AC Ajaccio,Adrian Mutu,adrian-mutu,08.01.1979,180,74,Left Winger,453,199,120,134,178,90,2,3,Forward
Spain,Atlético Madrid,Adrián,adrian_2,08.01.1988,183,73,Center Forward,294,145,62,87,60,16,0,0,Forward
Spain,SD Compostela,Adrián,adrian_7,21.05.1983,188,82,Goalkeeper,29,10,11,8,0,3,0,0,Defender
Spain,FC Barcelona,Adriano,adriano_24,26.10.1984,172,67,Left Midfielder,373,229,59,85,33,58,1,3,Midfielder
France,Paris Saint-Germain,Adrien Rabiot,adrien-rabiot,03.04.1995,188,71,Defensive Midfielder,66,42,14,10,6,11,0,0,Midfielder
France,Toulouse FC,Adrien Regattin,adrien-regattin,22.08.1991,166,67,Right Midfielder,79,20,26,33,6,6,0,1,Midfielder
France,Évian Thonon Gaillard,Adrien Thomasson,adrien-thomasson,10.12.1993,182,75,missing,4,1,1,2,0,1,0,0,Missing
Spain,Athletic Bilbao,Aduriz,aduriz,11.02.1981,182,78,Center Forward,322,125,82,115,105,68,3,4,Forward
Spain,Real Sociedad,Agirretxe,agirretxe,24.02.1987,187,77,Center Forward,200,78,62,60,52,8,0,0,Forward
France,Stade Brest,Ahmed Kantari,ahmed-kantari,28.06.1985,185,78,missing,166,61,40,65,5,38,1,0,Missing
Germany,1899 Hoffenheim,Ahmed Sassi,ahmed-sassi,24.09.1993,179,69,Attacking Midfielder,15,6,1,8,4,1,0,0,Midfielder
France,Stade Reims,Aïssa Mandi,aissa-mandi,22.10.1991,186,78,Center Back,97,33,31,33,3,12,1,1,Defender
France,FC Lorient,Alain Traoré,alain-traore_2,31.12.1988,176,66,Left Midfielder,130,39,42,49,31,17,0,1,Midfielder
France,FC Lorient,Alaixys Romao,alaixys-romao,18.01.1984,180,74,Defensive Midfielder,235,70,68,97,3,61,2,1,Midfielder
England,Leeds United,Alan Tate,alan-tate,02.09.1982,186,85,Center Back,174,78,41,55,2,23,0,3,Defender
France,Olympique Lyon,Alassane Pléa,alassane-plea,10.03.1993,180,65,missing,33,10,10,13,3,0,0,0,Missing
Spain,Valencia CF,Albelda,albelda,01.09.1977,181,77,Defensive Midfielder,561,292,139,130,11,197,3,6,Midfielder
France,OGC Nice,Albert Rafetraniaina,albert-rafetraniaina,09.09.1996,NA,NA,missing,3,2,0,1,0,0,0,0,Missing
Spain,Sevilla FC,Alberto Botía,alberto-botia,27.01.1989,186,82,Center Back,171,51,50,70,4,69,0,3,Defender
Spain,Rayo Vallecano,Alberto Perea,alberto-perea,19.12.1990,177,68,missing,17,5,3,9,1,1,0,0,Missing
France,Évian Thonon Gaillard,Aldo Angoula,aldo-angoula,04.05.1981,184,82,missing,104,35,31,38,9,25,2,0,Missing
France,AS Saint-Étienne,Alejandro Alonso,alejandro-alonso,03.03.1982,170,68,Right Midfielder,175,77,52,46,11,39,2,1,Midfielder
Spain,Rayo Vallecano,Alejandro Domínguez,alejandro-dominguez_2,10.06.1981,175,73,Right Winger,197,104,41,52,45,36,0,1,Forward
England,Queens Park Rangers,Alejandro Faurlín,alejandro-faurlin,09.08.1986,185,79,missing,137,48,37,52,5,20,0,0,Missing
Germany,Werder Bremen,Aleksandar Ignjovski,aleksandar-ignjovski,27.01.1991,175,68,Defensive Midfielder,136,50,36,50,1,22,1,0,Midfielder
England,Manchester City,Aleksandar Kolarov,aleksandar-kolarov,10.11.1985,187,80,Left Fullback,285,138,57,90,28,50,4,3,Defender
Germany,Werder Bremen,Aleksandar Stevanović,aleksandar-stevanovic,16.02.1992,175,65,missing,77,38,10,29,16,7,0,0,Missing
Spain,Celta Vigo,Álex López,alex-lopez,11.01.1988,174,66,Center Midfielder,141,57,30,54,16,32,0,0,Midfielder
England,Reading FC,Alex McCarthy,alex-mccarthy,03.12.1989,193,80,Goalkeeper,138,50,42,46,0,1,0,2,Defender
England,Manchester City,Alex Nimely-Tchuimeni,alex-nimely-tchuimeni,11.05.1991,180,72,Center Forward,34,6,15,13,2,3,0,0,Forward
England,Arsenal FC,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,15.08.1993,180,70,missing,139,80,27,32,26,5,0,0,Missing
England,Reading FC,Alex Pearce,alex-pearce,09.11.1988,183,75,missing,213,86,52,75,18,26,0,1,Missing
Spain,Atlético Malagueño,Álex Portillo,alex-portillo,06.11.1992,180,72,Left Fullback,1,0,0,1,0,0,0,0,Defender
Spain,Sevilla FC,Álex Rubio,alex-rubio,23.07.1993,185,77,Center Forward,20,5,5,10,4,5,0,0,Forward
England,Leyton Orient,Alex Smith,alex-smith_6,31.10.1991,175,54,missing,14,9,1,4,1,1,0,0,Missing
Spain,FC Barcelona,Alex Song,alex-song,09.09.1987,182,74,Defensive Midfielder,347,209,65,73,11,67,2,0,Midfielder
Spain,Real Madrid Castilla,Álex,alex_17,15.10.1992,180,68,Center Midfielder,68,30,12,26,3,8,0,1,Midfielder
France,Paris Saint-Germain,Alex,alex_4,17.06.1982,188,92,Center Back,371,243,81,47,38,48,0,2,Defender
England,Manchester United,Alexander Büttner,alexander-buettner,11.02.1989,174,75,Left Fullback,138,54,26,58,12,18,1,0,Defender
Germany,1. FC Nürnberg,Alexander Esswein,alexander-esswein,25.03.1990,183,85,Left Winger,185,85,43,57,36,25,1,0,Forward
Germany,Eintracht Frankfurt,Alexander Hien,alexander-hien,03.04.1993,183,72,Defensive Midfielder,58,25,7,26,2,2,0,0,Midfielder
England,Fulham FC,Alexander Kačaniklić,alexander-kacaniklic,13.08.1991,180,71,Left Midfielder,89,32,17,40,9,1,0,0,Midfielder
Germany,VfL Wolfsburg,Alexander Madlung,alexander-madlung,11.07.1982,193,92,Center Back,325,132,90,103,31,42,4,3,Defender
Germany,FC Augsburg,Alexander Manninger,alexander-manninger,04.06.1977,188,83,Goalkeeper,322,115,96,111,0,11,0,1,Defender
Germany,Eintracht Frankfurt,Alexander Meier,alexander-meier,17.01.1983,196,84,Attacking Midfielder,342,121,85,136,106,39,2,0,Midfielder
France,Olympique Marseille,Alexander N'Doumbou,alexander-ndoumbou,04.01.1992,174,70,missing,5,1,2,2,0,1,0,0,Missing
Germany,Bor. Mönchengladbach,Alexander Ring,alexander-ring,09.04.1991,173,72,Right Midfielder,103,49,23,31,6,14,1,0,Midfielder
Germany,SC Freiburg,Alexander Schwolow,alexander-schwolow,02.06.1992,189,83,Goalkeeper,89,41,22,26,0,1,0,0,Defender
England,Norwich City,Alexander Tettey,alexander-tettey,04.04.1986,180,68,Defensive Midfielder,214,88,54,72,11,34,0,0,Midfielder
France,Stade Brest,Alexandre Alphonse,alexandre-alphonse,17.06.1982,176,70,Right Winger,229,111,53,65,68,33,0,2,Forward
France,Olympique Lyon,Alexandre Lacazette,alexandre-lacazette,28.05.1991,174,73,Center Forward,153,77,31,45,42,18,2,1,Forward
France,OGC Nice,Alexey Bosetti,alexey-bosetti,23.04.1993,172,65,missing,64,27,14,23,10,7,0,1,Missing
Spain,Getafe CF,Alexis,alexis,04.08.1985,183,80,Center Back,255,96,57,102,16,77,7,4,Defender
Spain,FC Barcelona,Alexis Sánchez,alexis-sanchez,19.12.1988,170,73,Right Winger,373,215,67,91,96,60,2,2,Forward
France,Stade Brest,Alexis Thébaux,alexis-thebaux,17.03.1985,185,81,missing,188,58,58,72,0,5,0,0,Missing
Spain,RCD Mallorca,Alfaro,alfaro_2,23.11.1986,175,73,Attacking Midfielder,227,91,51,85,53,25,0,0,Midfielder
Spain,Rayo Vallecano,Alhassane Bangoura,alhassane-bangoura,30.09.1992,174,68,Right Midfielder,108,38,21,49,7,18,0,1,Midfielder
France,Toulouse FC,Ali Ahamada,ali-ahamada,14.07.1990,189,83,Goalkeeper,117,49,33,35,1,4,0,1,Defender
England,Wigan Athletic,Ali Al Habsi,ali-al-habsi,30.12.1981,194,88,Goalkeeper,201,72,54,75,0,7,0,0,Defender
France,Évian Thonon Gaillard,Ali Mmadi,ali-mmadi,21.04.1990,178,71,missing,21,7,6,8,2,1,0,0,Missing
Germany,Fortuna Düsseldorf,Aliosman Aydin,aliosman-aydin,06.02.1992,178,77,missing,77,22,23,32,18,8,0,1,Missing
Spain,Granada CF,Allan Nyom,allan-nyom,10.05.1988,186,81,missing,148,48,36,64,1,42,1,0,Missing
Germany,1. FC Nürnberg,Almog Cohen,almog-cohen,01.09.1988,169,68,Defensive Midfielder,116,46,27,43,3,27,0,2,Midfielder
England,West Ham United,Alou Diarra,alou-diarra,15.07.1981,190,79,Defensive Midfielder,420,195,109,116,24,91,5,2,Midfielder
France,Paris Saint-Germain,Alphonse Aréola,alphonse-areola,27.02.1993,190,88,Goalkeeper,47,26,14,7,0,0,0,0,Defender
Spain,Real Zaragoza,Álvaro González,alvaro-gonzalez_3,08.01.1990,183,76,Center Back,114,30,34,50,3,43,0,2,Defender
Spain,Sevilla FC,Álvaro Negredo,alvaro-negredo,20.08.1985,186,87,Center Forward,321,162,58,101,150,27,0,5,Forward
Spain,Athletic Bilbao,Álvaro Peña,alvaro-pena_3,24.10.1991,178,70,Center Midfielder,37,11,12,14,2,6,0,1,Midfielder
Spain,Real Valladolid,Álvaro Rubio,alvaro-rubio,18.04.1979,178,80,Defensive Midfielder,257,80,78,99,4,45,3,0,Midfielder
Spain,Real Betis,Álvaro Vadillo,alvaro-vadillo,12.09.1994,180,69,Left Winger,55,19,12,24,2,9,1,0,Forward
Spain,Getafe CF,Álvaro,alvaro_10,27.04.1991,182,71,Center Forward,136,50,27,59,32,9,0,0,Forward
Spain,RCD Mallorca,Álvaro,alvaro_8,19.05.1991,182,80,Center Forward,29,9,10,10,3,5,0,0,Forward
Spain,Valencia CF,Aly Cissokho,aly-cissokho,15.09.1987,181,75,Left Fullback,213,109,51,53,4,28,0,3,Defender
Spain,Real Betis,Amaya,amaya_3,31.05.1983,192,86,Center Back,126,45,37,44,5,40,4,1,Defender
Germany,Bor. Mönchengladbach,Amin Younes,amin-younes,06.08.1993,168,67,Right Midfielder,101,47,22,32,11,1,0,0,Midfielder
France,AC Ajaccio,Ammar Jemal,ammar-jemal,20.04.1987,186,81,Left Fullback,99,41,27,31,12,19,2,0,Defender
Spain,Athletic Bilbao,Amorebieta,amorebieta,29.03.1985,192,85,Center Back,274,98,65,111,5,93,9,4,Defender
Germany,Bayern München,Anatoliy Tymoshchuk,anatoliy-tymoshchuk,30.03.1979,181,75,Defensive Midfielder,406,229,83,94,23,62,2,2,Midfielder
Spain,Athletic Bilbao,Ander Herrera,ander-herrera,14.08.1989,182,73,Attacking Midfielder,230,101,57,72,21,62,1,4,Midfielder
England,Manchester United,Anders Lindegaard,anders-lindegaard,13.04.1984,193,80,Goalkeeper,100,50,20,30,0,1,0,0,Defender
Spain,RCD Mallorca,Anderson Conceição,anderson-conceicao,24.10.1989,188,81,Center Back,32,5,7,20,1,3,2,0,Defender
England,Manchester United,Anderson,anderson_7,13.04.1988,176,69,Center Midfielder,220,148,27,45,13,19,0,0,Midfielder
France,Olympique Marseille,André Ayew,andre-ayew,17.12.1989,176,72,Attacking Midfielder,248,107,67,74,56,45,0,1,Midfielder
France,Girondins Bordeaux,André Biyogo Poko,andre-biyogo-poko,01.01.1993,173,75,missing,50,21,14,15,2,9,1,0,Missing
Germany,Fortuna Düsseldorf,André Fomitschow,andre-fomitschow,07.09.1990,180,74,Left Midfielder,136,60,28,48,32,15,1,2,Midfielder
Germany,MSV Duisburg,André Hoffmann,andre-hoffmann_2,28.02.1993,187,79,Defensive Midfielder,128,51,24,53,11,35,1,1,Midfielder
France,AS Nancy,Andre Luiz,andre-luiz_3,27.01.1980,184,76,Center Back,270,89,82,99,21,53,2,3,Defender
France,Olympique Marseille,André-Pierre Gignac,andre-pierre-gignac,05.12.1985,186,84,Center Forward,303,115,94,94,101,31,0,0,Forward
England,Arsenal FC,André Santos,andre-santos,08.03.1983,180,74,Left Fullback,198,108,47,43,28,44,0,1,Defender
Spain,Deportivo La Coruña,André Santos,andre-santos_2,02.03.1989,178,72,Center Midfielder,139,52,34,53,4,22,1,0,Midfielder
Germany,Bayer Leverkusen,André Schürrle,andre-schuerrle,06.11.1990,184,74,Left Winger,262,137,55,70,85,11,0,1,Forward
Germany,VfB Stuttgart,André Weis,andre-weis,30.09.1989,189,86,Goalkeeper,98,31,31,36,0,4,0,1,Defender
England,Liverpool FC,Andre Wisdom,andre-wisdom,09.05.1993,186,78,missing,63,35,15,13,1,6,0,1,Missing
Germany,1899 Hoffenheim,Andreas Beck,andreas-beck,13.03.1987,180,70,Right Fullback,296,125,72,99,7,57,1,0,Defender
Germany,1. FSV Mainz 05,Andreas Ivanschitz,andreas-ivanschitz,15.10.1983,184,82,Attacking Midfielder,460,188,122,150,76,62,0,1,Midfielder
Germany,Fortuna Düsseldorf,Andreas Lambertz,andreas-lambertz,15.10.1984,172,69,Defensive Midfielder,294,132,74,88,39,62,4,1,Midfielder
Germany,FC Augsburg,Andreas Ottl,andreas-ottl,01.03.1985,185,77,Defensive Midfielder,296,153,69,74,19,23,0,1,Midfielder
England,Aston Villa,Andreas Weimann,andreas-weimann,05.08.1991,179,72,Center Forward,148,50,37,61,32,12,0,0,Forward
Spain,Valencia CF,Andrés Guardado,andres-guardado,28.09.1986,169,67,Left Midfielder,378,178,83,117,45,46,1,0,Midfielder
Spain,Celta Vigo,Andrés Túñez,andres-tunez,15.03.1987,187,83,Center Back,99,43,17,39,3,17,0,0,Defender
England,Norwich City,Andrew Surman,andrew-surman,20.08.1986,178,72,Attacking Midfielder,255,92,64,99,27,16,0,0,Midfielder
England,Arsenal FC,Andrey Arshavin,andrey-arshavin,29.05.1981,172,69,Center Forward,358,188,92,78,85,34,0,2,Forward
Spain,Rayo Vallecano,Andrija Delibašić,andrija-delibasic,24.04.1981,188,84,Center Forward,238,94,55,89,56,38,4,0,Forward
Germany,Fortuna Düsseldorf,Andriy Voronin,andriy-voronin,21.07.1979,174,81,Center Forward,462,198,111,153,121,61,2,1,Forward
England,Tottenham Hotspur (R),Andros Townsend,andros-townsend,16.07.1991,183,76,Left Midfielder,158,67,33,58,17,15,0,1,Midfielder
England,West Ham United,Andy Carroll,andy-carroll,06.01.1989,191,76,missing,213,86,48,79,58,29,0,2,Missing
France,AC Ajaccio,Andy Delort,andy-delort,09.10.1991,182,82,missing,98,30,27,41,26,17,0,1,Missing
England,Queens Park Rangers,Andy Johnson,andy-johnson_2,10.02.1981,170,70,Center Forward,378,149,101,128,134,30,2,0,Forward
England,Aston Villa,Andy Marshall,andy-marshall,14.04.1975,188,86,Goalkeeper,233,78,55,100,0,6,0,1,Defender
England,Southampton FC,Andy Robinson,andy-robinson_2,16.10.1992,NA,NA,missing,1,1,0,0,0,0,0,0,Missing
Spain,Real Betis,Ángel,angel,10.03.1981,180,71,Right Fullback,389,157,93,139,9,87,5,2,Defender
Spain,Real Madrid,Ángel Di María,angel-di-maria,14.02.1988,180,70,Left Winger,392,243,79,70,69,62,3,3,Forward
Spain,Levante UD,Ángel,angel_4,26.04.1987,172,68,Center Forward,177,64,44,69,43,18,1,0,Forward
England,Manchester United,Ángelo Henríquez,angelo-henriquez,13.04.1994,176,73,missing,64,34,13,17,25,11,0,0,Missing
Spain,Real Sociedad,Ansotegi,ansotegi,13.07.1982,192,84,Center Back,179,74,45,60,11,27,0,0,Defender
Spain,CA Osasuna,Anthony Annan,anthony-annan,21.07.1986,175,64,Defensive Midfielder,179,91,44,44,1,32,0,1,Midfielder
France,Valenciennes FC,Anthony Le Tallec,anthony-le-tallec,03.10.1984,184,73,Right Winger,313,84,81,148,46,27,0,3,Forward
France,AC Ajaccio,Anthony Lippini,anthony-lippini,07.11.1988,175,68,missing,80,27,30,23,0,30,1,2,Missing
France,Olympique Lyon,Anthony Lopes,anthony-lopes,01.10.1990,184,81,Goalkeeper,54,27,12,15,0,3,0,0,Defender
France,Olympique Lyon,Anthony Martial,anthony-martial,05.12.1995,181,76,missing,29,17,6,6,5,3,0,0,Missing
France,SC Bastia,Anthony Modeste,anthony-modeste_2,14.04.1988,186,74,Center Forward,216,74,69,73,68,20,0,3,Forward
France,Montpellier HSC,Anthony Mounier,anthony-mounier,27.09.1987,174,65,Left Midfielder,186,61,60,65,20,19,0,0,Midfielder
England,Norwich City,Anthony Pilkington,anthony-pilkington,06.06.1988,183,76,missing,173,66,42,65,40,19,1,0,Missing
France,Olympique Lyon,Anthony Réveillère,anthony-reveillere,10.11.1979,180,77,Right Fullback,563,285,138,140,9,91,1,1,Defender
France,Stade Reims,Anthony Weber,anthony-weber,11.06.1987,190,82,missing,123,41,42,40,4,12,0,1,Missing
France,Stade Reims,Antoine Devaux,antoine-devaux,21.02.1985,185,72,Defensive Midfielder,158,58,41,59,10,16,0,2,Midfielder
Spain,Real Sociedad,Antoine Griezmann,antoine-griezmann,21.03.1991,176,68,Left Winger,219,94,53,72,58,29,0,0,Forward
England,Wigan Athletic,Antolín Alcaraz,antolin-alcaraz,30.07.1982,184,78,Center Back,216,87,60,69,14,43,3,3,Defender
England,Queens Park Rangers,Anton Ferdinand,anton-ferdinand,18.02.1985,178,78,Center Back,317,120,68,129,5,31,0,0,Defender
Germany,SC Freiburg,Anton Putsila,anton-putsila,10.06.1987,180,74,Center Midfielder,139,39,36,64,11,24,0,0,Midfielder
Spain,RCD Mallorca,Antonio López,antonio-lopez_2,13.09.1981,176,74,Left Fullback,344,138,92,114,16,61,2,3,Defender
Germany,VfB Stuttgart,Antonio Rüdiger,antonio-ruediger,03.03.1993,190,85,Center Back,113,40,26,47,8,24,1,3,Defender
Spain,Real Valladolid,Antonio Rukavina,antonio-rukavina,26.01.1984,177,74,Right Fullback,249,95,70,84,3,37,1,0,Defender
England,Manchester United,Antonio Valencia,antonio-valencia_2,04.08.1985,175,70,Right Winger,344,171,68,105,36,48,3,3,Forward
Spain,Real Zaragoza,Apoño,apono,13.02.1984,173,72,Defensive Midfielder,172,65,43,64,31,45,0,1,Midfielder
England,Everton FC,Apostolos Vellios,apostolos-vellios,08.01.1992,191,NA,Center Forward,64,20,17,27,9,4,0,0,Forward
Spain,Rayo Vallecano,Arana,arana_4,03.12.1984,175,72,Defensive Midfielder,166,50,54,62,24,35,0,0,Midfielder
Spain,Real Zaragoza,Aranda,aranda,27.07.1980,184,82,Center Forward,199,73,40,86,35,37,1,1,Forward
Spain,Deportivo La Coruña,Aranzubía,aranzubia,18.09.1979,184,80,Goalkeeper,370,143,90,137,1,36,1,4,Defender
Spain,Real Madrid,Arbeloa,arbeloa,17.01.1983,184,79,Right Fullback,364,244,71,49,6,85,5,0,Defender
Spain,Atlético Madrid,Arda Turan,arda-turan,30.01.1987,177,76,Left Winger,385,209,84,92,71,75,1,3,Forward
Germany,FC Augsburg,Aristide Bancé,aristide-bance,19.09.1984,190,96,Center Forward,240,88,68,84,73,22,1,2,Forward
Spain,RCD Mallorca,Arizmendi,arizmendi,03.03.1984,189,76,Center Forward,270,100,72,98,36,35,2,0,Forward
Germany,Bayern München,Arjen Robben,arjen-robben,23.01.1984,180,80,Right Winger,521,347,80,94,170,50,2,2,Forward
England,Queens Park Rangers,Armand Traoré,armand-traore,08.10.1989,185,82,Left Fullback,148,48,40,60,3,10,1,0,Defender
France,FC Lorient,Arnaud Le Lan,arnaud-le-lan,22.03.1978,171,60,Left Fullback,174,56,40,78,2,14,0,2,Defender
France,AC Ajaccio,Arnaud Maire,arnaud-maire,06.03.1979,181,74,missing,93,33,30,30,1,13,0,1,Missing
France,Olympique Lyon,Arnold Mvuemba,arnold-mvuemba,28.01.1985,172,67,Defensive Midfielder,219,78,60,81,15,10,0,0,Midfielder
England,Wigan Athletic,Arouna Koné,arouna-kone,11.11.1983,181,81,Center Forward,328,160,61,107,95,12,0,0,Forward
Spain,CA Osasuna,Arribas,arribas_2,01.05.1989,185,77,Center Back,148,52,30,66,5,48,4,2,Defender
Spain,Athletic Bilbao,Arrizabalaga,arrizabalaga,03.10.1994,186,81,Goalkeeper,31,18,7,6,0,2,0,0,Defender
Germany,VfB Stuttgart,Arthur Boka,arthur-boka,02.04.1983,166,67,Left Fullback,390,147,95,148,12,66,2,2,Defender
Germany,Hamburger SV,Artjoms Rudņevs,artjoms-rudnevs,13.01.1988,183,81,Right Winger,157,62,30,65,59,17,1,0,Forward
England,Southampton FC,Artur Boruc,artur-boruc,20.02.1980,193,88,Goalkeeper,364,190,84,90,0,24,0,0,Defender
Germany,Hannover 96,Artur Sobiech,artur-sobiech,12.06.1990,185,81,Center Forward,171,70,35,66,45,26,1,1,Forward
Spain,Atlético Madrid,Asenjo,asenjo_2,28.06.1989,189,85,Goalkeeper,148,62,31,55,0,5,1,0,Defender
England,Fulham FC,Ashkan Dejagah,ashkan-dejagah,05.07.1986,181,74,Left Winger,321,131,71,119,56,55,1,4,Forward
England,Chelsea FC,Ashley Cole,ashley-cole,20.12.1980,170,67,Left Fullback,662,404,146,112,16,106,1,3,Defender
England,Aston Villa,Ashley Westwood,ashley-westwood_2,01.04.1990,175,67,missing,201,71,48,82,17,23,0,1,Missing
England,Manchester United,Ashley Young,ashley-young,09.07.1985,180,65,Left Midfielder,420,193,114,113,77,57,1,2,Midfielder
England,Stoke City,Asmir Begović,asmir-begovic,20.06.1987,198,83,Goalkeeper,193,69,52,72,1,11,0,1,Defender
Germany,Werder Bremen,Assani Lukimya,assani-lukimya,25.01.1986,190,89,Center Back,241,94,60,87,13,21,3,1,Defender
Germany,FC Schalke 04,Atsuto Uchida,atsuto-uchida,27.03.1988,176,62,Right Fullback,260,136,56,68,6,35,0,1,Defender
Spain,Celta Vigo,Augusto Fernández,augusto-fernandez,10.04.1986,177,71,Right Midfielder,273,116,65,92,31,50,3,1,Midfielder
France,Lille OSC,Aurelien Chedjou,aurelien-chedjou,20.06.1985,184,75,Center Back,237,115,69,53,20,34,1,1,Defender
Spain,Athletic Bilbao,Aurtenetxe,aurtenetxe,03.01.1992,182,82,Center Back,120,53,30,37,6,25,1,1,Defender
Germany,Fortuna Düsseldorf,Axel Bellinghausen,axel-bellinghausen,17.05.1983,182,76,Left Midfielder,278,103,79,96,17,40,1,1,Midfielder
France,Stade Rennes,Axel N'Gando,axel-ngando,13.07.1993,177,67,Attacking Midfielder,44,17,11,16,5,3,0,0,Midfielder
Germany,Eintracht Frankfurt,Aykut Özer,aykut-oezer,01.01.1993,189,80,Goalkeeper,73,33,11,29,0,5,0,1,Defender
France,Toulouse FC,Aymen Abdennour,aymen-abdennour,06.08.1989,188,84,Left Fullback,136,60,36,40,8,31,0,1,Defender
